"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","53/1321","67/2144",0.791044776119403,1.28387585162755,2.9902684586235,0.0015075114435544,0.0230314248320811,0.0230314248320811,"1141/150/2555/116444/112/9127/111/109/2550/2890/153/2565/2784/2893/2900/11054/3362/2767/114/152/6536/2775/6532/2783/3351/148/2901/2788/134/5566/151/6866/5331/4986/2905/5029/57030/63910/2897/1815/6512/147/1133/2564/146/196883/5030/2899/115/5032/2904/2912/1131",53
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","43/1321","53/2144",0.811320754716981,1.31678402582378,2.95792234932867,0.00167394191187818,0.0242281066192894,0.0242281066192894,"112/111/109/50940/10297/7481/1589/79798/8085/4221/51655/2767/114/8313/3284/8913/90993/11211/6934/3777/778/83439/7480/8326/8324/5566/5331/8912/1855/5605/8312/8325/1395/7483/11091/196883/7475/1956/8622/56246/115/5595/815",43
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","74/1321","98/2144",0.755102040816326,1.22554032968221,2.89498961936207,0.0021119990156883,0.0290399864657141,0.0290399864657141,"9020/100137049/9254/7040/2316/784/6196/782/1969/23542/1435/2264/23162/2668/51378/59283/773/4772/2872/5979/3725/9064/3727/8913/51295/5155/4902/10912/994/9344/7422/778/2260/1846/7786/4804/3480/4137/5566/9479/7043/7423/8912/6722/5609/2323/8517/5605/4296/5606/3265/4294/8717/7186/3303/6300/4908/3481/1956/5600/9048/1850/1849/5598/8822/2064/208/5595/5881/10454/10235/3654/2066/3315",74
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","29/1321","34/2144",0.852941176470588,1.38433450594469,2.8613447378103,0.00230511947320563,0.0295883443761674,0.0295883443761674,"112/482/111/109/747/1589/491/2767/114/492/3284/8913/480/90993/4881/3777/477/778/808/3991/5566/5331/8912/163688/196883/115/8536/815/5138",29
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","20/1321","22/2144",0.909090909090909,1.47546624458055,2.83936299057133,0.0023670675500934,0.0295883443761674,0.0295883443761674,"112/111/109/5346/153/8660/5296/364/114/4881/63924/3991/134/5566/3667/196883/11343/57104/115/208",20
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","23/1321","26/2144",0.884615384615385,1.43574215338031,2.83149531985788,0.00250473297266582,0.0299478942383957,0.0299478942383957,"112/7249/111/109/8660/10919/5296/83667/114/90993/6794/57521/3480/5566/84335/3265/3667/196883/8408/115/9370/208/79813",23
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","28/1321","33/2144",0.848484848484849,1.37710182827518,2.76524787957662,0.00324388386503328,0.037169502620173,0.037169502620173,"112/111/109/1839/1565/5296/3725/114/25759/4851/4854/3480/5566/572/5605/3265/6300/196883/6714/1956/5600/3714/115/4855/28514/2064/208/5595",28
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","33/1321","40/2144",0.825,1.33898561695685,2.74126471693342,0.00353820716282808,0.0385780058223592,0.0385780058223592,"24146/7122/4629/9075/10398/5872/4627/79784/4628/54566/5518/3725/6794/3996/51421/9223/23513/5566/81/51208/11346/5609/8189/1366/93643/154796/6714/79778/140465/84952/2064/2017/9080",33
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","22/1321","25/2144",0.88,1.42825132475397,2.72813475181895,0.00364737509593214,0.0385780058223592,0.0385780058223592,"6196/51085/5834/8660/11000/200186/5296/5507/10998/90993/7376/6517/22877/2998/2997/6720/3667/5792/208/4846/32/376497",22
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","42/1321","53/2144",0.792452830188679,1.28616114150229,2.67198585458316,0.00443266656659982,0.0451475298449982,0.0451475298449982,"85409/7040/10297/7481/4092/27113/8200/1454/79981/5518/2736/8994/8313/11211/6934/3996/268/83439/7480/7005/8326/8324/1453/23513/286204/7043/650/84962/1855/655/652/8312/8325/8463/7483/154796/4088/7475/656/85407/9231/126374",42
"Human Diseases","Substance dependence","hsa05034","Alcoholism","24/1321","28/2144",0.857142857142857,1.39115388774738,2.63895151966976,0.00499118672132959,0.0490205838702013,0.0490205838702013,"116444/51564/111/84152/3177/2784/83933/25759/90993/2775/2783/9759/808/2788/5566/84254/163688/2905/3265/79885/2030/2904/10014/5595",24
